"Company data loaded from GUS","Dane firmy zostały poprawnie wczytane z GUS"
"Error occurred while trying to get company data, please fill fields manually","Wystapił błąd pobierania danych firmowych, prosimy uzupełnić dane ręcznie"
"An error occurred on the server. Your changes have not been saved.","Na serwerze wystąpił błąd. Twoje zmiany nie zostały zapisane."
"Vat ID number format is invalid, please insert correct value","Niepoprawny numer NIP, sprawdź poprawność numeru"
"Data from GUS","Dane z GUS"
"VAT Number","Number NIP"
"Load company data from GUS","Wczytaj dane firmy z GUS"
"API GUS","API GUS"
"General","Ogólne"
"Is sandbox account","Konto sandbox"
"User ID","ID użytkownika GUS"
